N,paper_e_max,min_feasible_e_max,ratio_to_paper,best_label,best_fidelity,best_success_prob,best_rate,best_cost,n_beam_search_calls,wall_time_s
10,100,50,0.5,beam.span.((hop0.n2.YY+(hop1+hop2))+(hop3.n3.ZX_YY+(hop4.n3.ZX_YY+(hop5.n3.ZX_YY+(hop6.n3.ZX_YY+(hop7.n3.ZX_YY+(hop8.n3.ZX_YY+hop9.n3.ZX_YY))))))),0.9046928819497215,0.671317509739292,6713.17509739292,50,7,60.4
12,120,67,0.5583333333333333,beam.span.((hop0+hop1.n2.ZX)+((hop2.n3.YY_ZX+hop3.n3.YY_ZX)+(hop4.n3.YY_ZX+(hop5.n3.YY_ZX+(hop6.n3.YY_ZX+(hop7.n3.YY_ZX+(hop8.n3.YY_ZX+(hop9.n3.YY_ZX+(hop10.n3.YY_ZX+hop11.n3.YY_ZX))))))))),0.9047123980449527,0.5723793249252348,4769.82770771029,66,7,177.8
14,140,82,0.5857142857142857,beam.span.(hop0.n2.ZX+(hop1.n3.YY_ZX+(hop2.n3.YY_ZX+((hop3.n3.YY_ZX+(hop4.n3.YY_ZX+hop5.n3.YY_ZX))+(hop6.n3.YY_ZX+(hop7.n3.YY_ZX+(hop8.n3.YY_ZX+(hop9.n3.YY_ZX+(hop10.n3.YY_ZX+(hop11.n3.YY_ZX+(hop12.n3.YY_ZX+hop13.n3.YY_ZX))))))))))),0.904982835279895,0.48802256286909435,3485.87544906496,82,7,334.1
16,160,128,0.8,link.n4.YY_ZX_YY,0.9002582866227751,0.3094911314740176,1934.3195717126098,128,8,653.9
18,180,-1,nan,beam.span.(hop0.n3.YY_ZX+(hop1.n3.YY_ZX+((hop2.n3.YY_ZX+hop3.n3.YY_ZX)+((hop4.n3.YY_ZX+hop5.n3.YY_ZX)+(hop6.n3.YY_ZX+((hop7.n3.YY_ZX+(hop8.n3.YY_ZX+hop9.n3.YY_ZX))+(hop10.n3.YY_ZX+(hop11.n3.YY_ZX+(hop12.n3.YY_ZX+(hop13.n3.YY_ZX+(hop14.n3.YY_ZX+(hop15.n3.YY_ZX+(hop16.n3.YY_ZX+hop17.n3.YY_ZX))))))))))))),0.8878371722536087,0.384180908562109,2134.3383809006054,108,5,818.5864450931549
