N,wall_time_s,exact_rate,exact_meets_floor,beam_rate,beam_meets_floor,gap_pct
2,0.03565406799316406,49999.99999999999,True,49999.99999999999,True,0.0
4,0.9070866107940674,24999.999999999996,True,24999.999999999996,True,0.0
