N,paper_meets_floor,matched_cost_rate_improvement_pct,matched_cost_fidelity_delta,budget_relaxed_rate_improvement_pct,budget_relaxed_cost_ratio,budget_relaxed_fidelity_delta
2,True,5.548785075946094,-0.05013390170646703,20.494233238707118,0.2,-0.025748431059887666
4,True,0.3397735957274328,-0.0020862836412955943,44.788264399441815,0.2,-0.049273311457124325
6,True,0.8197814878759146,-0.00465638472922536,60.21410741722348,0.3,-0.053392724333562125
8,True,1.5371306987220112,-0.008211390006888641,67.60138358979412,0.4,-0.043046772105365005
10,True,2.520184658003166,-0.012720445687848914,65.5153444461616,0.5,-0.02482090062841369
14,False,-6.593128762564781,0.01482510342381893,68.5710027979441,0.5857142857142857,0.007715602820131062
18,False,-87.79643035897791,-0.03908937711754423,82.97113925691164,0.6,0.0262517091716844
