N,e_max,n_candidates_a,n_candidates_b,n_pairs_evaluated,rescued,best_label,best_cost,best_fidelity,best_success_prob,best_rate,best_score,wall_time_s
14,140,25,25,1875,True,"excluded_move.ZX(((hop0+hop1)+((hop2+hop3.n2.ZX)+((hop4.n3.YY_ZX+hop5.n3.YY_ZX)+(hop6.n3.YY_ZX+(hop7.n3.YY_ZX+(hop8.n3.YY_ZX+(hop9.n3.YY_ZX+(hop10.n3.YY_ZX+(hop11.n3.YY_ZX+(hop12.n3.YY_ZX+hop13.n3.YY_ZX)))))))))), (hop0+(((hop1.n2.YY+hop2.n2.YY)+((hop3+hop4)+(hop5+hop6.n2.YY)))+((hop7.n3.ZX_YY+(hop8.n3.ZX_YY+hop9.n3.ZX_YY))+((hop10+hop11)+(hop12+hop13))))))",116,0.9043479228595297,0.35098640265486175,2507.0457332490128,2507.0457332490128,96.86
18,180,25,25,1875,True,"excluded_move.YY((((hop0.n2.ZX+hop1.n2.ZX)+((hop2+hop3)+(hop4+hop5.n2.ZX)))+(hop6.n3.YY_ZX+((hop7.n3.YY_ZX+(hop8.n3.YY_ZX+hop9.n3.YY_ZX))+(hop10.n3.YY_ZX+(hop11.n3.YY_ZX+(hop12.n3.YY_ZX+(hop13.n3.YY_ZX+(hop14.n3.YY_ZX+(hop15.n3.YY_ZX+(hop16.n3.YY_ZX+hop17.n3.YY_ZX)))))))))), (((hop0.n2.ZX+hop1.n2.ZX)+((hop2+hop3)+(hop4+hop5.n2.ZX)))+(hop6.n3.YY_ZX+((hop7.n3.YY_ZX+(hop8.n3.YY_ZX+hop9.n3.YY_ZX))+(hop10.n3.YY_ZX+(hop11.n3.YY_ZX+(hop12.n3.YY_ZX+(hop13.n3.YY_ZX+(hop14.n3.YY_ZX+(hop15.n3.YY_ZX+(hop16.n3.YY_ZX+hop17.n3.YY_ZX)))))))))))",180,0.9285964394362693,0.1808553225781659,1004.7517921009215,1004.7517921009215,252.82
